bin_id,population_nearby,rainfall_mm,temperature_c,is_holiday,hours_since_last_collection,previous_fill_percentage,overflow_probability,will_overflow
BIN-0086,700,1.98,38.5,0,24.9,8.7,0.312,0
BIN-0111,2222,6.67,41.7,0,19.4,33.7,0.896,0
BIN-0026,3234,4.68,24.9,0,44.9,0.8,1.0,1
BIN-0021,2547,0.83,19.8,0,15.1,17.3,0.54,0
BIN-0055,1521,9.24,26.4,1,2.2,97.5,1.0,1
BIN-0094,3190,0.94,29.2,0,28.3,28.0,1.0,1
BIN-0044,1863,1.15,30.1,0,34.5,76.8,1.0,1
BIN-0038,2863,4.35,24.5,0,4.4,33.7,0.412,0
BIN-0010,2185,3.98,13.8,0,6.0,13.9,0.293,0
BIN-0073,992,7.14,19.2,0,18.0,93.0,1.0,1
BIN-0062,2481,6.85,30.5,1,11.4,37.9,0.856,0
BIN-0001,1360,6.76,34.3,0,38.6,20.2,0.81,0
BIN-0030,2028,8.72,20.4,0,43.8,31.6,1.0,1
BIN-0042,3324,2.49,23.0,0,23.3,30.1,1.0,1
BIN-0023,1475,2.89,10.1,0,26.5,6.7,0.529,0
BIN-0104,3290,4.89,13.2,0,38.5,62.0,1.0,1
BIN-0038,2863,6.98,32.8,0,11.4,71.4,1.0,1
BIN-0005,4926,10.47,33.3,0,40.9,12.7,1.0,1
BIN-0015,3885,7.98,21.6,0,35.1,64.1,1.0,1
BIN-0036,2935,6.3,34.5,1,17.8,22.7,1.0,1
BIN-0023,1475,3.1,26.4,0,2.8,87.2,1.0,1
BIN-0100,4988,12.55,34.6,0,5.2,7.7,0.434,0
BIN-0040,741,9.18,20.0,0,40.5,33.2,0.663,0
BIN-0055,1521,1.29,12.3,0,11.5,78.8,1.0,1
BIN-0035,3388,2.54,31.6,0,18.0,73.8,1.0,1
BIN-0017,3404,4.42,28.8,0,3.6,31.1,0.367,0
BIN-0029,1767,4.34,16.9,1,8.8,41.5,0.695,0
BIN-0063,1495,28.84,45.6,0,36.5,21.0,1.0,1
BIN-0062,2481,1.15,45.6,0,37.7,45.3,1.0,1
BIN-0113,3657,2.56,15.6,0,41.6,94.6,1.0,1
BIN-0032,4056,1.59,25.5,0,47.0,84.0,1.0,1
BIN-0135,2498,5.38,30.8,0,6.8,80.0,0.931,1
BIN-0067,1516,10.92,38.7,0,47.5,60.3,1.0,1
BIN-0046,3056,8.87,38.2,0,15.5,89.6,1.0,1
BIN-0007,3671,5.02,30.5,0,42.3,64.3,1.0,1
BIN-0082,4974,11.16,20.8,0,19.5,59.0,1.0,1
BIN-0140,4263,8.88,34.5,0,41.6,22.0,1.0,1
BIN-0086,700,7.57,26.3,1,23.7,18.2,0.419,0
BIN-0114,3125,0.11,27.5,0,13.9,13.9,0.488,0
BIN-0004,966,0.71,27.4,0,39.8,53.0,0.951,1
BIN-0042,3324,4.3,28.3,0,40.2,20.6,1.0,1
BIN-0106,4691,0.75,17.8,0,13.5,63.3,1.0,1
BIN-0053,4443,0.96,23.7,0,25.9,4.7,1.0,1
BIN-0054,3573,6.7,26.5,0,19.9,28.9,1.0,1
BIN-0113,3657,6.39,29.3,0,45.9,13.5,1.0,1
BIN-0056,3961,1.21,20.4,0,29.5,33.4,1.0,1
BIN-0073,992,0.39,24.7,0,22.0,24.6,0.555,0
BIN-0131,1209,0.4,32.9,1,38.3,69.1,1.0,1
BIN-0047,1275,0.45,35.3,0,31.3,98.1,1.0,1
BIN-0089,4145,5.2,22.7,0,4.0,58.8,0.779,0
BIN-0145,2136,1.0,31.5,0,34.1,29.7,1.0,1
BIN-0072,879,17.71,24.7,0,40.8,31.9,0.839,0
BIN-0103,1363,0.19,13.8,0,5.5,69.6,0.797,0
BIN-0108,2178,4.25,26.4,0,35.9,52.0,1.0,1
BIN-0108,2178,1.33,30.7,0,47.9,35.1,1.0,1
BIN-0062,2481,3.27,32.4,1,37.3,41.8,1.0,1
BIN-0103,1363,3.7,10.1,0,34.9,58.9,1.0,1
BIN-0073,992,0.58,17.4,1,38.7,25.9,0.828,0
BIN-0124,2538,2.7,43.5,0,47.6,23.2,1.0,1
BIN-0148,3652,9.1,29.9,0,4.2,38.4,0.538,0
BIN-0003,3592,8.75,29.1,0,25.8,59.7,1.0,1
BIN-0061,4797,1.51,10.4,1,43.3,46.3,1.0,1
BIN-0013,2933,1.27,43.9,0,6.2,87.7,1.0,1
BIN-0067,1516,1.59,20.2,0,3.6,32.9,0.384,0
BIN-0025,689,4.0,23.6,0,13.9,72.3,0.787,0
BIN-0090,1304,3.8,32.3,0,32.5,54.4,1.0,1
BIN-0033,4390,10.54,29.7,0,41.9,70.8,1.0,1
BIN-0107,2257,1.36,17.6,0,46.2,46.5,1.0,1
BIN-0031,3702,8.74,22.0,0,9.4,81.8,1.0,1
BIN-0077,3068,3.54,26.5,0,14.0,63.4,1.0,1
BIN-0088,2954,8.54,21.9,0,21.9,84.0,1.0,1
BIN-0060,661,0.99,31.2,0,37.5,94.7,1.0,1
BIN-0017,3404,7.37,23.1,0,5.4,85.2,1.0,1
BIN-0014,1684,18.15,27.9,0,3.0,32.4,0.367,0
BIN-0079,3195,8.54,24.1,1,6.7,85.4,1.0,1
BIN-0015,3885,7.92,16.8,0,33.3,65.5,1.0,1
BIN-0027,3505,10.13,28.4,0,46.4,76.0,1.0,1
BIN-0131,1209,1.87,34.3,0,11.2,86.8,0.962,1
BIN-0024,2306,2.3,24.3,1,10.5,86.9,1.0,1
BIN-0053,4443,0.83,38.0,0,38.7,29.4,1.0,1
BIN-0024,2306,12.68,35.0,0,7.4,12.5,0.364,0
BIN-0084,2778,2.81,24.7,0,28.8,26.9,1.0,1
BIN-0088,2954,2.84,40.7,0,46.8,72.2,1.0,1
BIN-0011,1269,5.94,28.0,0,24.1,10.5,0.471,0
BIN-0145,2136,0.54,22.4,0,11.7,34.6,0.601,0
BIN-0097,1002,3.65,23.0,0,5.6,39.7,0.423,0
BIN-0103,1363,1.12,32.4,0,32.8,95.2,1.0,1
BIN-0061,4797,6.13,25.5,0,42.1,71.4,1.0,1
BIN-0062,2481,7.65,22.3,0,27.4,59.7,1.0,1
BIN-0022,3247,3.01,28.2,0,5.8,6.0,0.368,0
BIN-0087,3604,5.25,43.9,0,23.6,74.4,1.0,1
BIN-0119,4127,2.84,29.0,0,5.8,40.3,0.554,0
BIN-0093,2070,2.71,28.9,0,46.2,41.6,1.0,1
BIN-0024,2306,2.77,15.2,1,3.8,86.7,0.934,1
BIN-0096,1528,4.43,24.3,0,29.5,79.3,1.0,1
BIN-0039,2561,1.62,31.4,0,30.7,63.2,1.0,1
BIN-0143,4081,1.34,21.2,0,31.1,37.3,1.0,1
BIN-0002,4272,1.0,24.8,0,42.1,44.5,1.0,1
BIN-0084,2778,4.49,22.1,1,13.9,65.7,1.0,1
BIN-0045,1978,1.35,28.5,0,17.2,44.9,0.784,0
BIN-0076,564,8.83,12.5,0,34.5,16.7,0.375,0
BIN-0028,2399,0.19,31.8,0,40.8,80.6,1.0,1
BIN-0111,2222,10.14,22.9,0,4.6,53.1,0.645,0
BIN-0020,3058,0.27,15.1,0,6.1,10.3,0.321,0
BIN-0012,2891,0.8,32.3,0,25.7,48.9,1.0,1
BIN-0038,2863,0.75,17.5,0,46.6,9.4,1.0,1
BIN-0008,3419,0.85,31.4,1,19.2,1.8,0.959,1
BIN-0145,2136,8.89,28.0,0,38.6,91.9,1.0,1
BIN-0001,1360,1.21,16.3,0,6.9,65.8,0.836,0
BIN-0063,1495,18.9,33.0,0,28.1,73.8,1.0,1
BIN-0068,837,5.26,32.2,0,16.6,86.9,1.0,1
BIN-0129,3175,0.64,23.6,0,18.9,39.6,1.0,1
BIN-0149,1198,2.39,42.7,0,22.4,1.5,0.352,0
BIN-0011,1269,4.62,33.7,0,19.5,86.3,1.0,1
BIN-0048,4514,9.39,12.0,0,20.1,54.9,1.0,1
BIN-0046,3056,6.33,31.1,0,44.6,6.0,1.0,1
BIN-0021,2547,3.26,21.3,0,26.1,67.0,1.0,1
BIN-0035,3388,4.35,27.0,0,46.9,82.3,1.0,1
BIN-0094,3190,1.0,17.2,0,34.6,10.7,1.0,1
BIN-0042,3324,12.49,18.4,0,19.2,52.6,1.0,1
BIN-0047,1275,15.12,34.6,0,12.5,21.2,0.439,0
BIN-0010,2185,0.96,30.9,0,27.6,25.6,0.858,0
BIN-0068,837,1.61,22.6,0,6.4,62.4,0.741,0
BIN-0069,1378,0.92,30.1,0,6.4,2.4,0.134,0
BIN-0143,4081,1.31,29.5,0,31.1,5.8,1.0,1
BIN-0002,4272,1.6,38.4,0,22.5,72.5,1.0,1
BIN-0024,2306,0.69,27.4,0,14.6,7.9,0.394,0
BIN-0097,1002,4.53,11.5,0,30.4,44.2,0.712,0
BIN-0060,661,0.35,20.0,0,42.5,65.1,0.969,1
BIN-0044,1863,1.96,34.8,1,32.4,55.8,1.0,1
BIN-0098,4993,2.96,31.9,0,46.2,63.5,1.0,1
BIN-0047,1275,1.12,17.7,0,36.8,34.8,0.831,0
BIN-0140,4263,19.88,6.3,0,46.8,2.0,1.0,1
BIN-0104,3290,7.32,31.2,0,13.8,78.8,1.0,1
BIN-0032,4056,0.68,29.0,0,3.7,30.3,0.483,0
BIN-0114,3125,2.09,12.7,0,25.4,82.5,1.0,1
BIN-0055,1521,0.88,27.9,0,20.0,50.1,0.881,0
BIN-0049,534,0.62,21.5,0,41.9,80.6,1.0,1
BIN-0080,1995,1.19,20.6,0,9.1,22.4,0.458,0
BIN-0020,3058,4.26,26.0,0,16.4,60.6,1.0,1
BIN-0065,4298,4.66,19.8,0,20.3,14.6,1.0,1
BIN-0117,3560,0.65,32.6,0,5.7,77.7,0.812,0
BIN-0128,4529,2.83,25.5,0,6.9,64.1,0.87,0
BIN-0093,2070,0.09,11.7,0,28.0,19.2,0.834,0
BIN-0089,4145,0.3,20.5,0,16.0,10.1,0.746,0
BIN-0080,1995,5.88,37.2,0,12.7,22.1,0.571,0
BIN-0052,2085,5.33,28.8,0,20.6,65.4,1.0,1
BIN-0007,3671,3.73,14.5,0,46.3,24.9,1.0,1
BIN-0062,2481,3.28,20.6,0,11.9,1.2,0.346,0
BIN-0082,4974,0.33,24.0,0,31.7,49.9,1.0,1
BIN-0117,3560,3.35,21.5,0,23.9,37.6,1.0,1
BIN-0042,3324,7.69,19.6,0,22.1,25.5,1.0,1
BIN-0010,2185,13.32,31.5,0,24.8,38.6,1.0,1
BIN-0079,3195,11.01,33.1,0,47.5,44.3,1.0,1
BIN-0008,3419,0.21,26.9,0,5.3,1.2,0.171,0
BIN-0133,4248,3.55,18.8,1,46.7,94.2,1.0,1
BIN-0028,2399,2.19,35.0,0,5.2,42.4,0.443,0
BIN-0111,2222,0.43,29.9,0,11.5,12.1,0.444,0
BIN-0126,2737,1.51,32.7,0,7.8,47.4,0.691,0
BIN-0002,4272,4.61,37.2,0,32.2,12.8,1.0,1
BIN-0015,3885,0.59,18.4,0,27.3,38.9,1.0,1
BIN-0114,3125,14.33,21.1,0,42.8,64.6,1.0,1
BIN-0122,2163,8.46,23.7,0,23.2,84.2,1.0,1
BIN-0104,3290,4.08,34.0,0,26.8,72.8,1.0,1
BIN-0002,4272,0.71,31.5,0,25.3,84.1,1.0,1
BIN-0022,3247,3.91,26.9,0,28.0,68.9,1.0,1
BIN-0039,2561,4.3,23.6,0,27.7,81.2,1.0,1
BIN-0108,2178,6.48,35.3,0,27.5,73.3,1.0,1
BIN-0066,1775,2.2,27.2,0,37.0,3.5,0.794,0
BIN-0014,1684,6.92,31.2,0,40.7,47.0,1.0,1
BIN-0101,706,0.67,37.5,0,12.0,13.8,0.161,0
BIN-0054,3573,5.95,34.3,0,29.1,48.1,1.0,1
BIN-0014,1684,6.43,23.2,0,4.4,48.7,0.555,0
BIN-0082,4974,4.61,17.1,0,36.3,98.2,1.0,1
BIN-0117,3560,7.77,2.8,0,17.1,43.4,1.0,1
BIN-0146,4196,2.32,31.2,0,10.0,63.8,1.0,1
BIN-0148,3652,7.7,23.2,0,19.7,57.2,1.0,1
BIN-0144,3957,1.13,27.8,0,34.2,58.6,1.0,1
BIN-0118,3193,1.59,9.8,1,13.9,43.0,1.0,1
BIN-0069,1378,9.22,29.1,0,24.2,13.3,0.502,0
BIN-0004,966,0.26,22.8,1,23.7,1.3,0.309,0
BIN-0108,2178,0.23,32.1,1,19.1,42.9,1.0,1
BIN-0070,1576,0.34,20.8,0,43.7,13.9,0.832,0
BIN-0007,3671,0.45,31.3,0,7.9,88.2,1.0,1
BIN-0149,1198,0.27,12.5,0,47.1,25.7,0.798,0
BIN-0131,1209,6.46,20.5,0,45.6,96.7,1.0,1
BIN-0117,3560,1.28,30.1,0,26.1,11.5,1.0,1
BIN-0098,4993,2.59,36.5,0,30.2,22.6,1.0,1
BIN-0098,4993,3.31,28.5,0,20.9,65.1,1.0,1
BIN-0086,700,1.72,22.6,0,47.0,79.4,1.0,1
BIN-0049,534,1.12,19.3,0,36.8,51.9,0.695,0
BIN-0120,1863,0.67,17.2,0,45.5,56.0,1.0,1
BIN-0028,2399,7.39,32.1,0,24.9,10.5,0.787,0
BIN-0023,1475,8.63,35.5,1,11.4,52.3,0.79,0
BIN-0041,2541,4.31,34.5,0,44.1,53.3,1.0,1
BIN-0042,3324,2.97,15.2,0,18.7,89.7,1.0,1
BIN-0107,2257,20.53,22.3,0,43.1,65.4,1.0,1
BIN-0107,2257,1.88,18.1,1,24.3,12.2,1.0,1
BIN-0013,2933,1.95,18.1,0,6.3,2.9,0.239,0
BIN-0148,3652,11.05,26.6,0,41.5,81.9,1.0,1
BIN-0134,1163,6.19,22.6,0,23.1,35.8,0.562,0
BIN-0131,1209,10.59,12.0,0,6.0,71.9,0.815,0
BIN-0034,1146,2.14,37.9,0,30.6,35.2,0.701,0
BIN-0069,1378,8.2,21.2,0,36.0,10.6,0.717,0
BIN-0047,1275,0.96,21.8,0,14.8,64.3,0.862,0
BIN-0004,966,10.06,20.2,0,37.1,40.8,0.778,0
BIN-0142,1791,11.7,30.5,0,43.3,65.1,1.0,1
BIN-0134,1163,5.55,17.3,0,23.2,86.5,1.0,1
BIN-0072,879,0.69,35.5,0,2.8,42.1,0.428,0
BIN-0014,1684,12.51,30.7,0,43.9,75.4,1.0,1
BIN-0028,2399,0.09,32.1,0,42.1,11.3,1.0,1
BIN-0061,4797,0.35,11.4,0,5.4,22.6,0.514,0
BIN-0078,2527,6.8,28.4,0,43.0,18.5,1.0,1
BIN-0016,4617,1.37,25.6,0,40.2,59.9,1.0,1
BIN-0137,4243,5.53,30.2,0,16.6,43.5,1.0,1
BIN-0047,1275,0.74,17.1,0,45.6,44.5,1.0,1
BIN-0132,4913,5.64,22.1,0,46.7,26.3,1.0,1
BIN-0091,3231,6.8,43.3,0,13.7,36.2,0.87,0
BIN-0012,2891,4.63,23.4,0,22.7,47.3,1.0,1
BIN-0099,1370,1.09,13.0,0,25.8,0.6,0.404,0
BIN-0046,3056,0.25,27.4,0,23.3,43.9,1.0,1
BIN-0062,2481,2.53,20.4,0,26.5,88.0,1.0,1
BIN-0041,2541,0.15,22.7,0,44.8,16.5,1.0,1
BIN-0108,2178,6.54,27.8,0,33.0,29.7,1.0,1
BIN-0090,1304,15.51,21.1,0,4.7,60.4,0.692,0
BIN-0082,4974,1.48,33.6,0,6.2,59.6,0.946,1
BIN-0084,2778,11.53,11.6,0,21.0,64.6,1.0,1
BIN-0051,2455,4.5,26.7,0,35.3,12.1,1.0,1
BIN-0002,4272,3.78,29.5,0,22.6,8.4,1.0,1
BIN-0101,706,0.66,9.3,0,32.0,84.6,1.0,1
BIN-0107,2257,2.81,15.5,0,38.3,44.6,1.0,1
BIN-0098,4993,2.42,42.5,0,6.5,89.0,1.0,1
BIN-0057,3113,0.14,29.6,0,9.6,64.6,0.826,0
BIN-0056,3961,7.18,23.8,0,19.4,0.7,0.908,1
BIN-0126,2737,4.53,34.8,0,27.7,10.5,0.939,1
BIN-0113,3657,0.76,21.2,0,46.3,38.4,1.0,1
BIN-0107,2257,2.46,22.9,0,43.4,11.6,1.0,1
BIN-0124,2538,1.88,26.9,0,47.3,28.8,1.0,1
BIN-0126,2737,2.47,12.4,0,9.1,55.4,0.758,0
BIN-0109,3742,7.18,23.2,0,13.9,19.5,0.852,0
BIN-0085,3599,2.1,9.2,0,8.4,44.4,0.797,0
BIN-0111,2222,8.48,30.0,0,15.8,32.6,0.704,0
BIN-0019,1582,1.12,21.3,0,27.0,22.8,0.659,0
BIN-0064,3842,4.49,11.5,0,3.7,74.6,0.96,1
BIN-0005,4926,7.9,30.0,1,8.8,46.3,1.0,1
BIN-0048,4514,0.49,24.6,0,24.6,52.2,1.0,1
BIN-0143,4081,4.65,23.2,0,43.1,45.6,1.0,1
BIN-0092,3273,8.79,28.3,1,11.2,10.9,0.832,0
BIN-0116,2097,0.02,13.9,0,16.3,25.6,0.647,0
BIN-0069,1378,3.57,30.2,0,23.9,68.8,1.0,1
BIN-0067,1516,5.9,21.7,0,39.0,27.9,0.902,1
BIN-0030,2028,15.79,32.6,0,2.7,73.8,0.834,0
BIN-0025,689,5.01,26.4,0,6.8,39.9,0.458,0
BIN-0034,1146,0.4,11.9,0,18.0,11.1,0.238,0
BIN-0034,1146,0.03,19.3,0,13.1,47.8,0.646,0
BIN-0066,1775,0.38,12.1,0,14.9,80.3,1.0,1
BIN-0120,1863,2.6,22.8,0,12.4,64.0,0.915,1
BIN-0013,2933,4.63,35.9,0,42.9,50.3,1.0,1
BIN-0074,2562,4.41,19.8,0,13.1,71.4,1.0,1
BIN-0053,4443,8.15,33.5,0,37.7,27.1,1.0,1
BIN-0119,4127,0.86,17.3,0,6.7,18.9,0.518,0
BIN-0093,2070,0.24,32.6,0,40.6,0.4,0.797,0
BIN-0069,1378,14.1,23.6,0,41.9,57.2,1.0,1
BIN-0082,4974,11.12,31.8,0,46.3,8.9,1.0,1
BIN-0060,661,5.01,29.2,0,46.4,76.1,1.0,1
BIN-0017,3404,5.64,42.9,1,6.8,49.9,0.866,0
BIN-0103,1363,3.47,13.4,0,19.0,37.0,0.531,0
BIN-0124,2538,9.79,26.8,0,35.1,37.1,1.0,1
BIN-0054,3573,10.61,30.4,0,15.6,13.7,0.758,0
BIN-0007,3671,0.67,26.1,0,28.6,8.5,1.0,1
BIN-0013,2933,0.3,25.3,0,40.4,1.5,1.0,1
BIN-0102,1984,2.06,23.3,0,26.4,59.5,1.0,1
BIN-0024,2306,6.45,36.3,0,14.3,22.0,0.564,0
BIN-0092,3273,18.65,30.4,0,14.2,1.8,0.686,0
BIN-0033,4390,6.72,30.0,0,28.1,66.3,1.0,1
BIN-0135,2498,10.57,29.2,0,29.9,29.1,1.0,1
BIN-0045,1978,2.54,21.8,0,13.3,48.4,0.752,0
BIN-0079,3195,0.31,31.8,1,13.0,53.1,1.0,1
BIN-0075,4384,16.45,23.4,0,11.0,14.1,0.75,0
BIN-0026,3234,9.39,15.9,1,26.3,90.6,1.0,1
BIN-0095,4340,5.61,18.5,1,15.4,47.0,1.0,1
BIN-0047,1275,0.31,33.9,1,24.9,23.0,0.765,0
BIN-0054,3573,2.69,33.3,0,45.7,96.2,1.0,1
BIN-0134,1163,1.61,23.6,0,21.9,4.4,0.376,0
BIN-0006,3944,2.95,28.6,0,46.2,19.7,1.0,1
BIN-0099,1370,3.45,29.4,0,12.1,45.9,0.63,0
BIN-0018,974,4.5,26.5,1,10.7,79.3,0.931,1
BIN-0059,2000,2.19,18.3,1,46.5,39.3,1.0,1
BIN-0106,4691,3.24,17.3,0,32.7,16.3,1.0,1
BIN-0088,2954,7.21,27.4,0,38.1,37.7,1.0,1
BIN-0104,3290,9.42,21.2,0,3.3,48.1,0.625,0
BIN-0141,2353,0.0,53.0,0,31.2,9.1,0.752,0
BIN-0094,3190,12.53,25.8,0,38.2,25.1,1.0,1
BIN-0091,3231,2.69,18.6,1,8.8,68.0,1.0,1
BIN-0068,837,4.36,40.8,0,36.9,28.2,0.54,0
BIN-0047,1275,11.7,22.5,0,39.9,88.9,1.0,1
BIN-0116,2097,1.14,18.1,0,3.5,63.6,0.66,0
BIN-0068,837,1.75,24.1,0,40.0,4.8,0.446,0
BIN-0024,2306,2.17,25.5,0,4.1,29.0,0.454,0
BIN-0109,3742,0.19,27.8,0,21.2,52.3,1.0,1
BIN-0101,706,6.42,20.3,0,22.1,88.3,1.0,1
BIN-0086,700,6.53,34.7,0,21.4,30.3,0.514,0
BIN-0101,706,6.23,21.3,0,43.5,80.7,1.0,1
BIN-0039,2561,1.25,27.0,0,19.5,41.4,1.0,1
BIN-0032,4056,0.92,28.3,1,4.0,26.5,0.58,0
BIN-0068,837,14.9,17.6,0,37.9,70.8,1.0,1
BIN-0051,2455,2.3,33.7,0,44.4,69.5,1.0,1
BIN-0126,2737,2.11,22.1,0,9.2,11.9,0.359,0
BIN-0049,534,6.49,30.1,0,19.5,16.3,0.285,0
BIN-0032,4056,2.45,21.8,0,30.3,84.3,1.0,1
BIN-0132,4913,4.09,40.1,0,26.9,43.0,1.0,1
BIN-0027,3505,3.29,28.4,0,33.1,62.5,1.0,1
BIN-0002,4272,10.26,33.5,0,30.7,57.2,1.0,1
BIN-0016,4617,20.06,14.2,0,10.6,2.0,0.74,0
BIN-0053,4443,1.83,35.0,0,35.7,40.5,1.0,1
BIN-0118,3193,1.42,19.6,0,33.2,7.2,1.0,1
BIN-0047,1275,2.4,20.5,0,38.1,60.1,1.0,1
BIN-0148,3652,1.63,20.9,1,5.1,51.9,0.724,0
BIN-0017,3404,0.54,28.1,0,10.7,58.2,0.953,1
BIN-0071,4493,1.53,24.3,0,15.2,65.7,1.0,1
BIN-0022,3247,0.78,15.5,1,5.1,43.0,0.702,0
BIN-0148,3652,4.57,37.0,0,2.7,96.5,1.0,1
BIN-0027,3505,5.64,31.6,0,14.5,59.8,1.0,1
BIN-0065,4298,0.62,42.2,0,45.2,0.7,1.0,1
BIN-0022,3247,4.91,21.0,0,19.7,93.6,1.0,1
BIN-0137,4243,2.99,24.1,0,10.7,67.2,1.0,1
BIN-0145,2136,3.45,18.3,0,5.9,80.7,1.0,1
BIN-0111,2222,1.5,38.4,0,29.1,61.3,1.0,1
BIN-0121,2481,5.55,17.3,0,39.6,5.0,1.0,1
BIN-0047,1275,0.15,17.2,0,29.5,59.5,0.878,0
BIN-0094,3190,15.13,28.3,0,44.9,54.4,1.0,1
BIN-0131,1209,4.8,32.0,0,5.1,37.1,0.484,0
BIN-0073,992,1.15,20.2,0,44.1,86.0,1.0,1
BIN-0082,4974,7.74,42.1,0,34.5,42.8,1.0,1
BIN-0114,3125,5.24,20.6,0,3.0,30.1,0.448,0
BIN-0135,2498,0.29,31.3,0,37.2,41.0,1.0,1
BIN-0121,2481,1.51,22.8,0,10.5,66.4,0.92,1
BIN-0109,3742,8.76,35.9,0,44.5,44.3,1.0,1
BIN-0023,1475,1.47,22.8,0,40.1,21.6,0.833,0
BIN-0055,1521,15.27,15.8,0,45.3,87.6,1.0,1
BIN-0061,4797,2.49,26.4,0,41.5,67.7,1.0,1
BIN-0076,564,9.79,21.9,0,9.4,67.4,0.816,0
