area,population,temperature,rainfall,holiday,last_collection_hours,waste_generated_kg,overflow
Ward-11,10318,25.2,0.1,1,27,511.18,1
Ward-16,4434,30.1,19.4,1,18,229.59,0
Ward-11,5090,44.5,9.6,1,8,279.84,0
Ward-11,9749,37.0,32.5,1,22,530.3,1
Ward-5,10115,44.1,5.0,1,28,347.71,1
Ward-4,10617,42.6,0.6,0,14,614.71,0
Ward-3,9692,39.1,10.6,1,21,307.26,1
Ward-18,8226,43.8,25.1,1,28,384.99,1
Ward-8,6708,44.9,29.9,1,4,362.41,1
Ward-4,9269,22.5,12.0,0,2,350.51,0
Ward-12,8141,29.6,9.8,1,19,397.95,0
Ward-6,3293,34.5,15.3,0,16,174.69,0
Ward-15,6161,30.4,26.7,1,29,239.86,1
Ward-3,9237,43.5,39.5,1,21,551.31,1
Ward-15,6949,23.4,15.4,1,4,260.8,0
Ward-19,6847,44.8,11.8,1,9,221.68,0
Ward-2,11935,38.1,33.3,1,25,648.36,1
Ward-12,5588,35.2,24.8,0,21,189.03,0
Ward-2,7061,39.3,1.3,1,24,256.05,0
Ward-11,8807,22.7,5.3,1,17,387.69,0
Ward-6,6210,42.7,37.8,1,24,360.62,1
Ward-15,3233,21.8,38.7,1,28,169.66,1
Ward-13,2228,25.1,4.9,1,22,107.39,0
Ward-13,8086,20.9,9.4,0,20,459.53,0
Ward-20,5626,35.5,25.4,1,30,293.08,1
Ward-4,4290,19.2,1.5,1,4,156.7,0
Ward-5,8367,30.2,26.8,1,19,423.51,1
Ward-14,3622,40.5,24.6,1,2,172.36,0
Ward-15,5868,41.1,4.0,1,18,340.57,0
Ward-2,8523,25.4,38.7,1,3,430.82,1
Ward-20,2349,19.4,13.3,0,26,93.0,0
Ward-18,5394,33.8,32.5,0,11,298.67,0
Ward-20,2046,25.5,39.4,0,18,63.75,0
Ward-1,4159,18.4,31.6,0,19,152.14,0
Ward-2,4076,38.0,21.0,0,16,171.58,0
Ward-19,3786,30.2,8.9,0,24,217.22,0
Ward-17,6941,30.4,38.6,0,16,381.71,0
Ward-4,10032,37.2,17.7,0,11,466.66,0
Ward-9,11590,32.8,13.0,1,15,520.69,1
Ward-4,11033,37.5,8.6,1,29,400.18,1
Ward-15,8532,29.2,3.8,1,11,421.17,0
Ward-5,9770,19.8,33.3,0,14,330.95,0
Ward-5,11115,19.6,38.3,1,22,368.35,1
Ward-14,2842,44.1,24.0,1,4,123.04,0
Ward-16,5674,40.9,14.0,1,4,302.99,0
Ward-14,11190,44.3,32.7,0,20,660.77,1
Ward-9,2474,22.9,28.1,1,30,79.69,1
Ward-5,11278,35.7,2.8,0,3,579.38,0
Ward-14,9432,27.2,14.8,1,25,553.19,1
Ward-2,4549,22.3,24.7,0,9,193.9,0
Ward-20,9242,29.2,8.6,0,12,387.79,0
Ward-19,9972,32.2,12.3,0,13,575.86,0
Ward-7,6938,43.5,30.7,1,10,256.74,0
Ward-14,4878,21.5,21.3,0,17,234.83,0
Ward-12,3180,28.7,29.7,1,1,122.38,0
Ward-11,11433,29.6,16.2,1,10,363.33,1
Ward-11,4815,39.6,24.7,1,3,191.77,0
Ward-14,11648,28.8,3.1,1,24,461.4,1
Ward-6,3251,31.8,4.6,0,29,167.28,0
Ward-5,5871,20.8,10.2,0,20,213.42,0
Ward-3,4902,43.7,25.1,1,25,233.14,1
Ward-19,7295,41.3,25.1,0,15,231.48,0
Ward-10,6500,34.0,14.1,0,10,266.54,0
Ward-12,6703,20.1,34.6,0,20,315.93,0
Ward-19,11081,43.8,29.6,0,15,637.49,1
Ward-7,7267,34.3,20.1,0,15,256.54,0
Ward-11,3381,31.6,6.9,0,23,143.41,0
Ward-17,11991,22.3,14.9,1,13,500.31,1
Ward-20,2857,39.3,25.9,0,11,100.95,0
Ward-10,6128,37.5,26.3,0,11,205.37,0
Ward-12,7082,44.1,27.9,1,5,356.4,1
Ward-10,11157,28.2,31.7,0,22,587.84,1
Ward-17,3531,35.4,16.9,1,1,131.55,0
Ward-7,7598,43.6,19.5,0,5,255.09,0
Ward-4,10317,38.8,33.4,0,22,424.39,1
Ward-5,11785,28.2,6.5,0,24,504.72,1
Ward-8,9277,34.5,30.1,1,8,419.31,1
Ward-16,5178,27.9,37.9,1,15,285.99,0
Ward-17,10641,29.3,6.5,0,26,527.18,1
Ward-2,9873,41.6,22.2,0,23,560.78,1
Ward-10,3374,38.6,10.9,0,27,163.36,0
Ward-8,9391,41.9,37.2,1,2,388.38,1
Ward-13,3337,28.1,1.1,0,27,165.07,0
Ward-5,4254,19.0,36.7,1,23,244.04,1
Ward-16,9349,34.6,36.2,0,9,326.94,0
Ward-20,10647,29.4,31.0,0,10,347.87,0
Ward-20,9489,19.7,33.5,1,20,442.55,1
Ward-19,5963,37.4,11.7,0,20,244.83,0
Ward-6,3402,32.1,14.4,0,13,172.93,0
Ward-13,8116,24.8,0.6,0,12,308.47,0
Ward-4,11533,37.9,13.3,0,12,547.45,0
Ward-6,9612,44.5,19.1,0,26,335.89,0
Ward-15,2605,25.9,1.8,0,29,98.76,0
Ward-17,8524,44.7,21.7,1,2,436.0,1
Ward-12,2783,41.4,13.3,0,26,129.8,0
Ward-15,8334,27.2,7.5,1,12,481.89,0
Ward-3,8955,20.1,24.1,0,18,331.67,0
Ward-11,6843,26.3,24.1,1,6,340.95,0
Ward-2,7776,34.6,17.4,0,3,386.1,0
Ward-17,4621,43.7,5.7,1,2,145.57,0
Ward-12,7933,28.3,22.7,0,22,339.91,0
Ward-15,3259,33.5,21.2,1,11,151.26,0
Ward-4,2424,37.9,20.0,1,30,104.04,0
Ward-9,9311,23.8,24.5,1,7,327.7,0
Ward-15,4828,42.3,17.8,0,26,257.43,0
Ward-11,7692,37.2,22.0,1,29,286.28,1
Ward-6,7922,31.7,4.9,0,26,282.28,0
Ward-1,7912,33.0,14.8,0,20,429.87,0
Ward-13,9842,32.2,30.8,0,5,588.06,1
Ward-15,9632,36.4,13.8,0,25,565.48,1
Ward-2,4034,32.0,12.2,0,11,223.16,0
Ward-17,6653,40.8,10.0,1,5,328.92,0
Ward-3,10234,35.3,23.7,0,6,518.09,1
Ward-20,7531,40.7,22.5,0,3,241.86,0
Ward-19,6336,35.6,30.7,1,20,311.46,0
Ward-18,6745,35.3,12.1,0,26,361.96,1
Ward-15,3195,36.6,6.3,1,16,133.97,0
Ward-5,7121,41.3,12.8,1,13,236.39,0
Ward-18,3739,26.6,18.7,1,15,123.85,0
Ward-10,8293,41.3,16.7,0,27,333.36,0
Ward-11,5110,38.6,19.9,1,16,287.96,0
Ward-3,8442,31.6,38.7,0,19,324.66,0
Ward-16,11789,41.8,26.2,1,10,557.37,1
Ward-14,4194,41.8,29.1,1,12,113.56,0
Ward-18,5189,27.8,11.5,1,17,227.77,0
Ward-20,3946,21.5,3.9,1,26,237.51,0
Ward-12,4363,23.4,20.4,0,2,144.53,0
Ward-16,10508,30.3,24.3,0,11,601.59,1
Ward-13,6902,34.0,20.3,1,23,322.61,1
Ward-1,8035,26.9,4.4,1,19,331.17,0
Ward-1,11779,30.8,38.7,0,24,370.74,1
Ward-17,8229,22.0,27.2,0,19,465.35,0
Ward-1,9225,26.5,6.1,0,14,420.09,0
Ward-16,3020,37.1,20.7,1,22,129.01,1
Ward-6,9531,42.6,13.7,1,22,515.5,1
Ward-9,11995,31.1,38.3,1,18,484.92,1
Ward-10,6735,37.0,27.6,1,11,301.41,0
Ward-9,6715,21.3,27.1,1,29,411.64,1
Ward-5,6758,19.1,38.2,0,12,396.31,0
Ward-16,5505,23.5,21.5,1,5,192.82,0
Ward-8,5972,19.4,36.2,0,21,204.88,0
Ward-11,9739,20.7,30.8,0,18,564.2,1
Ward-16,9822,35.6,30.2,1,11,361.13,1
Ward-3,11406,24.3,29.5,0,30,654.2,1
Ward-6,2595,44.9,15.9,1,6,169.25,0
Ward-10,2613,18.3,22.7,0,30,146.83,0
Ward-18,10590,31.3,37.5,1,9,363.46,1
Ward-6,9518,35.5,28.7,0,24,373.6,1
Ward-7,4875,34.5,25.5,1,27,201.92,1
Ward-13,3562,23.0,5.6,1,30,123.8,0
Ward-8,9319,38.4,38.2,1,19,462.12,1
Ward-12,5871,19.7,4.7,1,6,247.64,0
Ward-10,3923,35.2,37.6,1,20,161.98,0
Ward-16,4509,30.3,39.6,1,14,246.73,0
Ward-18,5578,38.6,27.2,0,17,250.25,0
Ward-3,11243,21.0,33.2,0,19,504.88,1
Ward-17,9239,21.1,8.2,1,3,524.13,1
Ward-2,9429,21.6,16.6,0,18,425.94,0
Ward-1,8487,24.9,0.1,0,19,270.15,0
Ward-3,10866,44.8,37.4,0,30,471.35,1
Ward-6,4218,38.7,39.1,1,12,247.48,0
Ward-13,8154,20.2,38.6,0,21,439.81,1
Ward-18,8439,32.3,29.1,0,27,234.96,0
Ward-10,9585,36.2,21.8,1,27,352.01,1
Ward-5,6516,23.1,35.0,0,2,350.49,0
Ward-1,5943,23.6,4.0,0,15,293.0,0
Ward-2,6009,38.0,16.1,0,18,233.99,0
Ward-2,4295,31.6,11.6,1,19,212.79,0
Ward-11,5881,26.1,5.7,0,14,211.89,0
Ward-19,4869,34.9,17.1,1,2,305.76,0
Ward-13,10592,26.6,16.7,0,10,447.56,0
Ward-16,5948,40.9,12.0,0,26,243.37,0
Ward-14,8824,33.0,5.4,0,9,324.42,0
Ward-15,8079,20.5,29.0,0,2,314.38,0
Ward-20,2647,41.6,7.5,0,16,112.28,0
Ward-10,2251,23.7,7.6,0,24,134.19,0
Ward-8,11902,37.0,15.9,0,18,463.22,0
Ward-15,10743,35.5,12.3,1,17,605.45,1
Ward-16,7246,42.7,14.8,1,2,328.51,0
Ward-5,2265,25.0,37.4,1,10,71.5,0
Ward-13,11335,40.5,20.0,1,9,599.18,1
Ward-16,9550,22.5,31.8,0,5,492.4,1
Ward-18,2962,32.1,33.6,0,27,158.81,0
Ward-14,4252,40.7,9.3,0,1,153.7,0
Ward-2,9916,35.8,0.6,1,1,311.34,0
Ward-18,6697,18.5,32.5,1,26,376.88,1
Ward-4,10591,22.0,7.7,1,27,442.14,1
Ward-3,8112,43.9,18.4,0,23,305.69,0
Ward-3,2519,20.5,15.2,1,2,131.8,0
Ward-3,10189,40.8,25.8,1,19,623.36,1
Ward-17,2697,24.2,36.1,1,9,67.65,0
Ward-9,10897,33.2,1.3,1,1,644.71,1
Ward-13,3260,26.1,22.6,1,22,178.75,1
Ward-5,3284,31.5,39.0,0,4,155.13,0
Ward-11,11915,38.8,38.2,1,25,479.48,1
Ward-15,10038,24.2,22.1,1,14,360.51,1
Ward-13,3404,38.8,11.8,0,23,100.35,0
Ward-13,4527,38.0,12.7,0,3,128.85,0
Ward-12,6419,20.8,3.5,1,15,300.33,0
Ward-4,2430,20.4,22.2,1,28,92.66,1
Ward-13,3387,37.6,22.4,0,19,161.97,0
Ward-6,4274,25.3,10.7,0,3,140.7,0
Ward-10,9933,39.1,14.4,0,24,488.0,1
Ward-7,9501,20.9,12.2,1,11,520.11,1
Ward-11,9212,27.0,32.6,0,10,382.87,1
Ward-7,9848,26.5,38.6,1,10,517.87,1
Ward-19,5971,26.8,11.2,1,12,202.08,0
Ward-19,10939,22.9,30.7,0,24,488.0,1
Ward-15,6773,40.4,2.8,1,22,309.98,0
Ward-8,6139,35.8,28.6,1,3,270.79,0
Ward-19,8566,32.4,36.9,1,18,285.17,0
Ward-18,11729,35.2,3.4,0,22,572.41,1
Ward-20,2725,33.2,25.8,1,25,120.71,1
Ward-4,2172,20.7,8.9,0,15,88.06,0
Ward-19,10199,22.1,39.9,1,4,413.19,1
Ward-3,3901,40.4,29.2,1,10,168.55,0
Ward-17,9912,27.4,3.9,1,11,299.12,0
Ward-4,2370,40.9,25.9,0,30,130.81,0
Ward-6,11042,22.3,22.4,1,8,600.71,1
Ward-6,9080,28.7,29.5,0,15,429.27,1
Ward-7,5371,25.5,28.2,0,19,192.4,0
Ward-6,7993,26.8,18.3,1,22,447.75,1
Ward-11,11780,28.5,15.7,0,12,476.11,0
Ward-6,6873,42.8,23.6,0,11,222.71,0
Ward-6,8116,36.7,20.4,1,20,272.4,0
Ward-6,9973,35.2,27.7,0,18,340.67,0
Ward-6,7154,40.7,24.8,1,1,306.43,0
Ward-13,11200,31.6,19.8,1,14,572.36,1
Ward-6,3354,33.3,31.8,0,10,92.9,0
Ward-10,4755,39.1,22.6,1,18,218.43,0
Ward-9,10898,40.2,14.7,0,25,563.86,1
Ward-14,3677,37.9,26.1,0,10,188.1,0
Ward-9,7711,41.3,3.5,0,25,407.54,1
Ward-19,7744,41.2,24.4,1,6,386.86,1
Ward-7,2972,33.4,21.3,0,11,168.15,0
Ward-19,6380,43.7,20.6,0,5,387.1,0
Ward-2,6543,41.4,5.1,0,8,217.88,0
Ward-8,8434,31.2,23.1,1,21,355.91,1
Ward-3,8600,31.9,11.1,1,15,496.26,0
Ward-1,3526,37.7,18.3,1,28,113.86,0
Ward-7,9039,40.3,19.8,1,27,349.96,1
Ward-5,11275,41.0,31.5,0,2,383.29,1
Ward-15,2266,21.4,34.3,1,15,86.35,0
Ward-7,4161,41.8,12.1,1,3,196.56,0
Ward-12,4711,19.4,25.0,0,14,242.12,0
Ward-1,5496,30.9,5.3,0,17,257.37,0
Ward-11,3975,44.7,16.9,0,16,123.02,0
Ward-4,3690,26.5,35.2,0,13,206.45,0
Ward-5,4340,19.8,22.5,0,15,164.45,0
Ward-5,8745,34.6,17.7,0,3,483.17,0
Ward-4,11659,37.7,14.1,1,11,616.38,1
Ward-3,6065,32.9,24.0,1,25,334.29,1
Ward-10,5366,32.0,20.4,1,10,276.35,0
Ward-8,10108,28.4,9.6,0,17,553.22,0
Ward-12,7185,21.6,34.4,1,12,320.23,0
Ward-16,3195,18.5,2.7,1,7,82.09,0
Ward-13,10300,25.7,28.5,1,14,509.16,1
Ward-18,10808,34.6,11.1,1,3,478.15,1
Ward-5,10788,26.8,23.5,0,10,558.96,1
Ward-8,2948,24.6,37.0,0,15,124.79,0
Ward-6,3956,18.3,5.5,0,6,171.46,0
Ward-17,6247,22.5,5.1,1,24,364.39,1
Ward-1,7488,39.8,10.9,0,9,387.72,0
Ward-3,10128,30.3,14.4,1,28,470.79,1
Ward-9,3685,42.1,27.0,0,8,172.55,0
Ward-1,6006,19.2,14.6,0,6,362.26,0
Ward-18,8870,24.1,9.9,1,9,488.76,0
Ward-4,10225,36.2,2.1,0,26,446.8,1
Ward-13,3129,41.7,34.6,1,11,100.25,0
Ward-12,5287,25.9,31.4,0,15,235.9,0
Ward-7,10954,38.5,9.8,0,30,452.69,1
Ward-12,2157,43.7,0.1,1,28,104.77,0
Ward-7,10680,44.5,16.8,0,5,532.13,0
Ward-8,10515,29.2,35.8,1,24,326.06,1
Ward-5,8461,20.0,22.7,1,22,488.05,1
Ward-9,7161,43.0,15.7,1,11,301.44,0
Ward-7,4230,39.1,23.4,0,4,146.4,0
Ward-14,3978,32.5,38.6,0,15,146.73,0
Ward-4,3481,22.3,27.4,0,7,184.84,0
Ward-3,6066,44.1,15.8,0,22,249.17,0
Ward-6,2509,43.7,34.2,0,4,122.2,0
Ward-5,3989,18.3,33.2,0,5,139.4,0
Ward-3,11540,33.8,36.7,0,1,679.33,1
Ward-15,4110,20.5,33.9,1,4,127.0,0
Ward-6,11402,29.7,29.0,1,1,470.04,1
Ward-12,5517,42.5,11.0,1,29,194.67,0
Ward-20,6026,35.5,20.0,1,2,191.96,0
Ward-14,5267,35.4,31.9,0,21,316.83,0
Ward-1,8266,39.1,14.4,1,12,474.4,0
Ward-13,6430,22.9,12.8,0,1,376.83,0
Ward-2,9728,32.3,30.7,0,6,327.34,0
Ward-9,10743,40.0,36.7,0,25,632.19,1
Ward-13,7813,43.3,39.7,0,6,282.56,0
Ward-12,11692,18.8,28.0,0,19,696.88,1
Ward-16,10882,26.3,19.6,0,2,391.15,0
Ward-17,9831,18.0,36.7,0,26,342.09,1
Ward-11,2975,18.6,23.5,0,25,100.2,0
Ward-12,3188,28.1,37.7,1,19,97.37,0
Ward-5,4580,37.8,17.5,1,21,189.28,0
Ward-18,7846,24.0,23.6,0,13,315.14,0
Ward-5,4911,37.7,38.0,1,28,312.43,1
Ward-2,4983,34.3,36.8,0,21,251.5,0
Ward-5,7425,38.1,9.5,1,6,382.98,0
Ward-11,9317,18.3,8.4,0,12,335.57,0
Ward-1,2788,28.4,29.3,0,29,133.54,0
Ward-12,10946,28.1,33.2,0,6,488.54,1
Ward-2,6831,18.5,10.4,0,3,290.49,0
Ward-6,3228,32.8,35.9,0,11,158.91,0
Ward-16,2507,29.6,26.1,1,6,72.48,0
Ward-7,8705,36.8,28.9,1,22,324.17,1
Ward-2,8437,33.4,33.6,0,2,341.54,0
Ward-10,11833,31.0,3.9,0,6,600.62,0
Ward-16,3892,26.3,15.9,1,29,177.59,0
Ward-18,8349,23.0,35.4,1,6,352.66,1
Ward-15,6315,24.1,10.7,0,5,338.66,0
Ward-3,7632,39.8,16.6,0,18,238.41,0
Ward-17,8858,44.1,27.5,1,19,499.08,1
Ward-3,8468,42.4,28.6,0,4,493.15,0
Ward-6,5471,39.8,5.0,1,3,323.75,0
Ward-5,11749,25.0,36.4,0,3,485.16,1
Ward-11,6525,32.0,36.7,0,26,336.36,0
Ward-14,3843,29.2,5.9,0,30,138.65,0
Ward-10,10775,41.8,35.1,1,13,537.79,1
Ward-16,2613,22.6,16.1,1,2,124.57,0
Ward-8,2807,38.1,36.8,1,1,124.41,0
Ward-10,6593,40.8,34.3,0,28,234.9,0
Ward-15,7257,25.3,16.7,0,7,330.41,0
Ward-14,9937,38.5,34.7,0,17,516.69,1
Ward-17,8609,21.7,34.1,0,6,321.37,0
Ward-2,6087,18.9,2.0,1,23,213.7,0
Ward-15,10275,28.7,36.9,0,8,426.82,1
Ward-6,9775,33.8,14.0,0,27,565.52,1
Ward-3,6670,18.7,2.0,0,28,233.4,0
Ward-7,6408,35.6,20.5,0,16,373.36,0
Ward-20,2138,24.0,24.3,1,23,131.87,1
Ward-14,8168,41.0,18.4,0,15,319.9,0
Ward-20,8506,33.8,0.3,1,18,424.73,0
Ward-10,3771,31.0,13.5,1,21,140.99,0
Ward-10,5086,22.0,30.6,0,26,295.79,0
Ward-13,7236,36.4,28.9,1,10,270.14,0
Ward-13,2578,33.7,39.8,0,11,122.43,0
Ward-18,9794,42.5,26.9,1,28,350.07,1
Ward-18,4967,25.9,18.8,1,24,279.98,0
Ward-6,7499,35.7,8.9,0,24,417.84,1
Ward-11,8089,25.0,11.8,0,16,261.07,0
Ward-19,3166,30.7,7.8,0,28,160.83,0
Ward-14,2885,41.5,6.0,0,11,124.74,0
Ward-15,4346,26.5,28.6,0,16,193.21,0
Ward-11,2950,18.1,10.9,0,19,155.74,0
Ward-3,4120,34.6,25.3,1,14,238.25,0
Ward-2,10745,23.4,14.9,0,29,439.54,1
Ward-7,2293,36.3,25.1,0,8,110.27,0
Ward-5,3682,28.4,23.5,0,3,193.39,0
Ward-10,9469,37.7,23.9,1,14,556.14,1
Ward-11,10031,27.7,7.5,1,1,378.75,1
Ward-5,5460,37.8,23.6,0,4,229.87,0
Ward-2,8147,41.7,10.2,0,20,494.0,0
Ward-1,2790,36.6,16.7,1,4,128.48,0
Ward-5,5366,36.8,25.2,1,14,273.99,0
Ward-9,11922,36.9,16.8,0,17,599.44,0
Ward-4,3741,31.4,24.4,1,27,159.01,1
Ward-14,6839,22.3,21.9,0,23,389.84,1
Ward-1,2208,36.1,36.3,1,5,140.31,0
Ward-3,3659,42.4,25.8,1,10,120.77,0
Ward-6,2646,41.0,14.4,1,14,121.81,0
Ward-2,2158,41.0,26.5,0,11,85.39,0
Ward-20,6395,41.7,3.7,1,6,209.7,0
Ward-15,6453,40.6,27.6,1,26,290.68,1
Ward-6,3852,21.6,29.1,0,4,167.27,0
Ward-19,9178,22.9,15.2,1,20,290.65,0
Ward-5,9914,42.9,4.5,1,15,301.56,0
Ward-11,2202,37.0,27.1,0,22,124.5,0
Ward-20,3560,29.7,29.1,1,12,183.34,0
Ward-5,11147,42.1,24.5,0,21,647.1,1
Ward-16,10123,41.5,3.0,1,11,395.65,1
Ward-2,10305,24.0,25.7,1,27,380.16,1
Ward-19,9341,20.4,19.9,1,4,564.85,1
Ward-1,3681,28.9,1.4,0,27,124.64,0
Ward-20,6990,42.0,22.5,1,11,268.06,0
Ward-8,9445,27.0,30.7,1,23,478.19,1
Ward-4,3596,38.5,8.9,1,12,215.99,0
Ward-10,10973,32.1,28.1,0,29,368.85,1
Ward-14,3752,24.9,7.8,0,30,197.11,0
Ward-7,7536,20.9,16.6,0,25,425.98,1
Ward-19,10260,21.6,20.0,0,18,609.24,0
Ward-16,10328,39.1,36.4,0,24,546.58,1
Ward-20,11931,41.8,20.2,1,14,725.16,1
Ward-8,6482,28.7,13.7,1,15,336.49,0
Ward-20,10393,26.1,28.1,1,23,543.67,1
Ward-7,5291,23.7,28.6,1,30,284.71,1
Ward-6,10255,32.6,25.5,0,25,415.23,1
Ward-19,8839,36.2,35.8,1,29,502.18,1
Ward-17,3744,18.7,5.8,0,7,153.73,0
Ward-10,6105,22.0,2.5,1,7,302.46,0
Ward-15,3679,34.6,27.0,0,24,177.35,0
Ward-17,6712,36.7,1.9,1,13,296.76,0
Ward-11,11046,19.5,29.7,0,20,633.72,1
Ward-15,5695,42.6,28.2,1,25,280.91,1
Ward-7,5170,25.9,7.1,0,6,313.78,0
Ward-4,8180,19.1,11.2,1,5,298.73,0
